File Name,Category,Entropy_R_baseline,Entropy_G_baseline,Entropy_B_baseline,entropi_baseline,Entropy_R_optimized,Entropy_G_optimized,Entropy_B_optimized,entropi_optimized,selisih
I62_12_04.png,medium,7.99905,7.99905,7.99919,7.9991,7.99903,7.99909,7.99899,7.99904,-6.000000000039307e-05
I65_13_01.png,medium,7.99902,7.99907,7.99899,7.99902,7.99915,7.99905,7.99915,7.99912,9.999999999976694e-05
I71_12_02.png,medium,7.99917,7.99905,7.999,7.99907,7.99898,7.99915,7.99893,7.99902,-4.999999999988347e-05
I73_03_03.png,medium,7.99914,7.99905,7.99878,7.99899,7.99918,7.99919,7.99914,7.99917,0.00018000000000029104
I75_07_01.png,medium,7.99908,7.99903,7.99894,7.99902,7.99926,7.99917,7.99902,7.99915,0.00013000000000040757
I79_05_04.png,medium,7.99892,7.99915,7.99916,7.99908,7.99898,7.99911,7.999,7.99903,-4.999999999988347e-05
I81_13_01.png,medium,7.99908,7.9991,7.99909,7.99909,7.99901,7.99905,7.99904,7.99903,-5.9999999999504894e-05
I02_01_05.png,low,7.99901,7.99904,7.999,7.99902,7.99915,7.99904,7.99883,7.999,-2.0000000000131024e-05
I02_08_04.png,low,7.99906,7.99914,7.9992,7.99913,7.99908,7.99907,7.99911,7.99909,-4.000000000026205e-05
I05_03_05.png,low,7.9991,7.99894,7.99902,7.99902,7.99919,7.99908,7.99917,7.99915,0.00013000000000040757
I08_04_04.png,low,7.99919,7.9991,7.99923,7.99917,7.99891,7.99914,7.99916,7.99907,-0.00010000000000065512
I10_01_04.png,low,7.99907,7.9992,7.99915,7.99914,7.99897,7.99908,7.99919,7.99908,-5.9999999999504894e-05
I11_02_04.png,low,7.99915,7.99919,7.99913,7.99916,7.99914,7.99912,7.99901,7.99909,-7.00000000000145e-05
I18_07_02.png,low,7.99906,7.99906,7.99904,7.99905,7.99913,7.99886,7.99903,7.99901,-4.000000000026205e-05
I18_12_05.png,low,7.99919,7.99913,7.99893,7.99909,7.99908,7.9992,7.99887,7.99905,-3.999999999937387e-05
I20_13_04.png,low,7.99908,7.99902,7.9992,7.9991,7.9991,7.99911,7.9991,7.99911,9.999999999621423e-06
I21_04_04.png,low,7.99909,7.9992,7.99906,7.99912,7.99916,7.99905,7.99927,7.99916,4.000000000026205e-05
I27_21_05.png,low,7.99922,7.99915,7.99881,7.99906,7.99903,7.99892,7.99926,7.99907,9.999999999621423e-06
I29_03_05.png,low,7.99904,7.99908,7.99911,7.99908,7.999,7.99906,7.99906,7.99904,-4.000000000026205e-05
I33_14_03.png,low,7.9991,7.99905,7.99901,7.99905,7.99919,7.99899,7.99912,7.9991,4.999999999988347e-05
I39_21_03.png,low,7.99907,7.99909,7.9992,7.99912,7.99898,7.99899,7.99915,7.99904,-7.999999999963592e-05
I40_19_05.png,low,7.99903,7.99903,7.99908,7.99905,7.99917,7.99912,7.99912,7.99913,7.999999999963592e-05
I41_02_05.png,low,7.99919,7.99905,7.99906,7.9991,7.99914,7.99905,7.99915,7.99911,9.999999999621423e-06
I41_16_04.png,low,7.99898,7.999,7.99901,7.999,7.99894,7.99901,7.999,7.99898,-1.9999999999242846e-05
I44_03_05.png,low,7.99899,7.9991,7.99919,7.99909,7.99909,7.9991,7.99904,7.99908,-9.999999999621423e-06
I44_15_03.png,low,7.9991,7.99904,7.99906,7.99907,7.99913,7.99914,7.99906,7.99911,4.000000000026205e-05
I48_23_04.png,low,7.99905,7.99881,7.99911,7.99899,7.99905,7.99904,7.99911,7.99906,7.00000000000145e-05
I50_07_03.png,low,7.99911,7.99912,7.99905,7.99909,7.99907,7.99915,7.99891,7.99904,-4.999999999988347e-05
I56_16_05.png,low,7.99901,7.99901,7.99895,7.99899,7.99913,7.99913,7.999,7.99909,9.999999999976694e-05
I61_02_04.png,low,7.99902,7.99926,7.99911,7.99913,7.99904,7.99905,7.99907,7.99905,-7.999999999963592e-05
I66_10_04.png,low,7.99919,7.99912,7.9991,7.99914,7.99907,7.99903,7.99893,7.99901,-0.0001299999999995194
