File Name,Category,Corr_Horizontal_R_baseline,Corr_Horizontal_G_baseline,Corr_Horizontal_B_baseline,Corr_Horizontal_baseline,Corr_Horizontal_R_optimized,Corr_Horizontal_G_optimized,Corr_Horizontal_B_optimized,Corr_Horizontal_optimized,selisih_horizontal,Corr_Vertical_R_baseline,Corr_Vertical_G_baseline,Corr_Vertical_B_baseline,Corr_Vertical_baseline,Corr_Vertical_R_optimized,Corr_Vertical_G_optimized,Corr_Vertical_B_optimized,Corr_Vertical_optimized,selisih_vertical,Corr_Diagonal_R_baseline,Corr_Diagonal_G_baseline,Corr_Diagonal_B_baseline,Corr_Diagonal_baseline,Corr_Diagonal_R_optimized,Corr_Diagonal_G_optimized,Corr_Diagonal_B_optimized,Corr_Diagonal_optimized,selisih_diagonal
I60_25_03.png,high,0.00011,-0.00524,0.0014,-0.00124,0.00036,0.00138,0.00074,0.00083,0.00207,0.0013,0.00341,-0.00049,0.00141,-0.00012,0.00052,0.00062,0.00034,0.00107,0.00183,-0.00123,0.00105,0.00055,-0.0002,0.00216,-2e-05,0.00065,9.999999999999994e-05
I64_18_01.png,high,-0.00282,-1e-05,0.00038,-0.00082,0.00219,-0.00091,0.00128,0.00085,0.00167,0.00056,-0.00255,0.00102,-0.00032,0.00099,-0.00099,2e-05,0.0,0.00032,-0.00195,0.00213,-0.00141,-0.00041,-1e-05,0.00103,0.00031,0.00044,0.0008500000000000001
I65_09_01.png,high,-0.00046,-0.00361,-0.00168,-0.00192,0.0002,-0.0005,0.00284,0.00085,0.00277,-0.00056,-0.00387,0.00121,-0.00108,-0.00031,0.00042,-0.00023,-4e-05,0.00104,0.00179,-0.00269,-0.00109,-0.00066,0.00098,4e-05,0.00012,0.00038,0.0010400000000000001
I69_20_04.png,high,-0.00048,0.0008,-0.0024,-0.0007,-0.00017,0.00103,-0.00028,0.00019,0.00089,-0.00148,-0.00101,0.00073,-0.00059,-0.00024,0.00086,0.00014,0.00026,0.0008500000000000001,-0.00214,0.00242,0.00159,0.00062,-0.0006,-0.0011,0.00014,-0.00052,0.00114
I70_08_02.png,high,0.00185,-0.00052,0.00175,0.00103,8e-05,0.0014,-0.00053,0.00032,0.0007100000000000001,0.00075,0.00138,-0.00274,-0.00021,0.0007,-0.0005,-0.00188,-0.00056,0.00034999999999999994,-0.00206,0.00123,-0.00125,-0.00069,0.0,0.00039,0.00196,0.00078,0.00147
I73_10_02.png,high,0.00477,3e-05,0.00032,0.00171,0.00201,-0.00236,-0.00042,-0.00026,0.00197,0.00172,-0.00126,0.00093,0.00046,7e-05,0.00017,-0.0002,1e-05,0.00045,3e-05,0.00029,-0.00395,-0.00121,-0.00106,-0.00093,-0.00085,-0.00094,0.00026999999999999995
I78_03_01.png,high,-0.00371,-0.00117,0.00158,-0.0011,0.00159,-0.0021,-0.00042,-0.00031,0.0007900000000000001,-0.00133,-0.00177,-0.00143,-0.00151,5e-05,-6e-05,0.00124,0.00041,0.00192,7e-05,0.00017,-0.00103,-0.00026,-0.00024,-2e-05,0.00024,-1e-05,0.00024999999999999995
I80_18_02.png,high,0.0017,0.00121,-0.00353,-0.00021,2e-05,7e-05,-0.00013,-2e-05,0.00019,-0.00065,-0.00028,-0.00226,-0.00106,-0.00209,3e-05,0.00013,-0.00064,0.0004199999999999999,0.00142,-0.00234,-0.002,-0.00097,0.00031,-0.00096,-0.00064,-0.00043,0.0005400000000000001
I81_18_03.png,high,0.00112,-0.00153,-0.0003,-0.00024,0.00027,-0.00155,-0.00093,-0.00073,0.00049,-0.00424,0.00353,0.00222,0.0005,0.00029,-8e-05,-0.00049,-9e-05,0.00059,-0.00391,0.00349,-0.00487,-0.00176,0.00129,-0.00053,-0.00018,0.00019,0.0019500000000000001
I01_25_05.png,medium,-0.00102,-0.00573,0.00188,-0.00162,-0.00084,-0.00065,-0.00069,-0.00073,0.00089,-0.002,-0.00036,-0.00094,-0.0011,0.00011,0.00018,-0.00086,-0.00019,0.00091,0.00322,-0.00332,0.00026,5e-05,0.00011,-0.00135,6e-05,-0.00039,0.00044
I02_14_02.png,medium,-0.00035,-0.00138,0.00039,-0.00045,0.00066,-0.00081,1e-05,-5e-05,0.00039999999999999996,-2e-05,-0.00129,0.00056,-0.00025,0.00062,0.00025,-0.00019,0.00023,0.00048,0.00055,-0.00251,-0.00131,-0.00109,-0.00152,0.00176,0.0,8e-05,0.00117
I04_14_03.png,medium,-0.00058,0.0014,0.00049,0.00043,0.00039,-0.00176,6e-05,-0.00043,0.00086,-0.0029,0.0021,-0.00117,-0.00066,-0.0013,0.00022,0.00027,-0.00027,0.00039,-0.00088,-0.00283,-0.0011,-0.0016,0.00111,-0.0012,-0.00062,-0.00024,0.00136
I04_21_04.png,medium,-0.00121,9e-05,0.00189,0.00025,0.00022,0.001,-0.00158,-0.00012,0.00037,0.00232,0.0021,-0.00301,0.00047,-0.00042,0.00046,-0.00036,-0.00011,0.00058,-0.00017,-0.00224,-0.00056,-0.00099,0.00027,0.00016,-0.00048,-2e-05,0.0009699999999999999
I05_13_02.png,medium,0.00162,-0.00203,-0.00125,-0.00055,-0.00058,-0.00133,-0.00046,-0.00079,0.00023999999999999998,-0.0026,-0.00286,-0.00252,-0.00266,-0.00035,0.00064,-0.00163,-0.00045,0.00221,1e-05,0.00025,-0.00085,-0.0002,-0.00122,0.00051,0.00024,-0.00016,3.9999999999999996e-05
I06_11_04.png,medium,-0.00112,0.00246,-0.00287,-0.00051,-0.00065,0.00108,0.00077,0.0004,0.00091,-0.00016,-0.00196,0.00293,0.00027,-0.0,-0.00072,0.00232,0.00053,0.00026,-0.00026,0.00266,0.00112,0.00117,0.00034,0.00017,0.00067,0.00039,0.0007800000000000001
I09_02_01.png,medium,0.00573,2e-05,-0.00285,0.00097,-0.00013,0.0,0.00069,0.00019,0.0007800000000000001,-0.00273,-0.00165,0.00309,-0.00043,0.00057,-0.00035,-0.00115,-0.00031,0.00011999999999999999,0.00461,0.00309,-0.00525,0.00082,-0.00114,-0.00056,-0.00105,-0.00091,0.00173
I10_25_02.png,medium,0.00232,0.00343,-0.00234,0.00114,-0.00027,-0.00061,-0.00176,-0.00088,0.00202,0.00154,0.00028,-0.00165,6e-05,-0.00135,0.00039,-0.00029,-0.00042,0.00048,-0.00107,-0.0005,-0.00081,-0.00079,0.0004,-2e-05,-0.00057,-6e-05,0.00073
I19_25_05.png,medium,0.00167,-0.00065,0.00475,0.00193,-0.00052,0.0002,0.00043,4e-05,0.00189,-0.00018,-0.00403,0.00181,-0.0008,0.00156,-0.00027,0.00026,0.00052,0.00132,-0.00271,-0.00288,0.00136,-0.00141,-0.00014,-0.00064,-0.00079,-0.00052,0.0008900000000000001
I23_08_02.png,medium,-0.00072,0.0064,0.00178,0.00249,0.0005,-1e-05,-0.00017,0.00011,0.00238,0.002,-0.00096,0.00304,0.00136,-0.00038,0.00129,-0.00029,0.00021,0.00115,-2e-05,0.00026,-0.00219,-0.00065,0.00065,-0.00048,0.00187,0.00068,0.00133
