File Name,Category,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),Lossless
I19_25_05.png,medium,7.999,0.00167,-0.00018,-0.00271,99.60022,33.47427,7.99899,-0.00065,-0.00403,-0.00288,99.63125,33.38841,7.99901,0.00475,0.00181,0.00136,99.59259,33.36737,7.999,0.00193,-0.0008,-0.00141,99.60802,33.41002,0.0,inf,0.425,0.4288,True
I23_08_02.png,medium,7.99894,-0.00072,0.002,-2e-05,99.26503,33.44779,7.99929,0.0064,-0.00096,0.00026,99.27419,33.51474,7.99899,0.00178,0.00304,-0.00219,99.28792,33.53794,7.99907,0.00249,0.00136,-0.00065,99.27572,33.50016,0.0,inf,0.4304,0.4272,True
I24_25_05.png,medium,7.99912,-0.00081,0.00278,-0.00051,99.19027,33.44754,7.99901,-0.00162,0.0008,-0.00011,99.20553,33.48397,7.99915,-0.00136,0.00119,-0.0048,99.20553,33.47247,7.99909,-0.00126,0.00159,-0.00181,99.20044,33.46799,0.0,inf,0.4432,0.4324,True
I32_05_02.png,medium,7.99919,0.00506,-0.00159,0.00106,99.09515,33.52938,7.99912,-0.00072,0.00182,-0.00108,99.08854,33.4554,7.999,-0.00344,-0.00218,0.00122,99.07939,33.34749,7.9991,0.0003,-0.00065,0.0004,99.08769,33.44409,0.0,inf,0.4217,0.4302,True
I32_16_03.png,medium,7.99909,0.00026,-0.00157,0.00017,98.64655,33.40421,7.99899,-0.00131,0.001,-0.00148,98.67147,33.43908,7.99893,0.00134,0.00182,0.00059,98.64502,33.33484,7.999,0.0001,0.00042,-0.00024,98.65434,33.39271,0.0,inf,0.4312,0.4283,True
I37_11_01.png,medium,7.99894,-0.00113,-0.00109,-0.00075,99.49188,33.40488,7.99913,0.00482,-0.00124,0.00082,99.53512,33.47706,7.99913,-0.00061,0.00013,0.00191,99.52698,33.48372,7.99906,0.00103,-0.00073,0.00066,99.51799,33.45522,0.0,inf,0.4297,0.4288,True
I44_07_01.png,medium,7.99908,-0.00295,0.00367,0.0061,99.17501,33.50496,7.99912,0.00362,-0.00186,0.00057,99.16128,33.44606,7.99906,0.00098,0.00126,-0.00016,99.19637,33.46558,7.99909,0.00055,0.00103,0.00217,99.17755,33.4722,0.0,inf,0.4412,0.4436,True
I44_13_04.png,medium,7.99911,0.00117,-0.00105,0.00147,99.23452,33.42245,7.99883,-0.00182,0.00228,0.00461,99.20553,33.44109,7.99904,-0.00245,-0.00038,0.00436,99.23248,33.48259,7.99899,-0.00103,0.00029,0.00348,99.22418,33.44871,0.0,inf,0.438,0.4383,True
I48_13_03.png,medium,7.99907,-0.00319,-0.00478,0.00288,99.25079,33.49073,7.99894,0.00311,-0.00217,0.00098,99.26503,33.51815,7.99911,0.00398,0.0001,0.00092,99.2452,33.37492,7.99904,0.0013,-0.00228,0.00159,99.25368,33.46127,0.0,inf,0.4271,0.4359,True
I49_08_04.png,medium,7.999,-0.00288,-0.00398,0.00155,99.57733,33.39241,7.99913,4e-05,-0.00029,-0.00031,99.5814,33.52626,7.99895,-0.00069,-0.00107,-0.00133,99.57733,33.54045,7.99903,-0.00118,-0.00178,-3e-05,99.57869,33.48637,0.0,inf,0.4221,0.4415,True
