File Name,Category,Best_Fitness,Opt_r_min,Opt_eps,Opt_T0,Opt_Q,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),Enc_Time (s),Dec_Time (s),HO_Time (s),Lossless
I02_01_05.png,low,0.000452,3.99,0.00603,803,120,7.99907,-0.00083,0.00036,-0.00027,99.12262,33.36908,7.99907,-0.0013,0.00164,0.00043,99.13635,33.43299,7.99911,-0.00028,-0.00191,-9e-05,99.11143,33.48282,7.99908,-0.0008,3e-05,3e-05,99.12347,33.4283,0.4042,0.4164,522.65,True
I02_08_04.png,low,0.000444,3.57,0.00865,500,1,7.99914,0.00015,-0.0014,0.00089,99.03158,33.49885,7.99897,0.00048,0.00201,-0.0001,99.05039,33.49548,7.99906,-0.00104,-0.00068,-0.00018,99.00309,33.39535,7.99906,-0.00014,-2e-05,0.0002,99.02835,33.46322,0.4088,0.4107,520.73,True
I05_03_05.png,low,0.000337,3.99,0.00037,852,1,7.99891,0.0012,-0.00016,0.00042,98.90493,33.44515,7.999,-0.00029,0.00084,0.00098,98.92375,33.45022,7.9991,0.00055,0.0003,0.0002,98.94409,33.44516,7.999,0.00049,0.00033,0.00053,98.92426,33.44684,0.4056,0.4129,519.61,True
I08_04_04.png,low,0.000377,3.9899,0.01,1052,43,7.99916,-3e-05,0.0015,0.00037,98.78743,33.43134,7.99901,0.0008,0.00011,0.00178,98.77625,33.48577,7.99906,-0.00035,0.00051,-0.00028,98.80981,33.41015,7.99908,0.00014,0.00071,0.00062,98.79116,33.44242,0.4017,0.4158,519.17,True
I10_01_04.png,low,0.000406,3.68917,0.00163,1026,126,7.99903,-0.00014,0.00018,-0.00024,99.47357,33.51686,7.99906,-0.00228,0.00025,-0.00059,99.49544,33.46606,7.99902,0.00224,-3e-05,-0.00028,99.49748,33.49916,7.99904,-6e-05,0.00013,-0.00037,99.48883,33.49403,0.4171,0.4107,521.31,True
I11_02_04.png,low,0.000383,3.57,0.00574,500,61,7.99905,-9e-05,-4e-05,0.0027,98.77268,33.50128,7.99917,4e-05,-0.00028,0.00029,98.69792,33.3741,7.99905,0.00125,0.00017,0.00101,98.73606,33.49508,7.99909,0.0004,-5e-05,0.00133,98.73556,33.45682,0.4062,0.4111,519.9,True
I18_07_02.png,low,0.000395,3.77131,0.01,2277,256,7.99906,-0.00137,8e-05,-0.00121,99.18823,33.41422,7.99907,0.00202,0.00019,1e-05,99.20502,33.48877,7.99915,-0.00041,0.00041,-0.0004,99.1628,33.45735,7.99909,8e-05,0.00023,-0.00053,99.18535,33.45345,0.4193,0.4132,519.29,True
I18_12_05.png,low,0.000415,3.57,0.0003,500,14,7.99914,0.00045,-0.00114,-0.00066,99.22434,33.42627,7.99905,-0.00037,0.00022,0.00039,99.21163,33.48861,7.99895,-0.00041,-0.00203,-0.00073,99.20197,33.40678,7.99905,-0.00011,-0.00098,-0.00033,99.21265,33.44055,0.4112,0.4058,518.97,True
I20_13_04.png,low,0.000379,3.9899,0.01,1317,92,7.99896,0.00021,-0.00092,0.00077,98.63586,33.54892,7.99889,0.00059,0.00035,0.00091,98.61552,33.48424,7.99896,-0.00033,0.00024,0.00132,98.59619,33.43139,7.99894,0.00016,-0.00011,0.001,98.61586,33.48818,0.4149,0.4148,519.75,True
I21_04_04.png,low,0.000396,3.99,0.00824,560,1,7.99906,0.00118,0.00015,-0.0,99.29555,33.51486,7.99891,0.0007,-0.00088,-0.00181,99.31234,33.40347,7.99913,0.00022,0.00107,-2e-05,99.31946,33.48221,7.99904,0.0007,0.00011,-0.00061,99.30912,33.46685,0.4101,0.4115,518.5,True
I27_21_05.png,low,0.000372,3.64934,0.0016,1895,93,7.99902,0.0016,0.00105,4e-05,99.04683,33.52675,7.99887,-0.0006,-0.00073,0.00024,99.04683,33.44219,7.99913,-0.00108,0.00011,-0.00013,99.02547,33.484,7.99901,-2e-05,0.00014,5e-05,99.03971,33.48431,0.4019,0.4045,519.6,True
I29_03_05.png,low,0.000407,3.99,0.00037,2390,94,7.99897,0.00056,-4e-05,-0.00032,99.13534,33.38401,7.99903,-0.00019,0.00228,0.00028,99.12465,33.5372,7.99912,0.00085,-0.00098,0.00074,99.13279,33.45393,7.99904,0.00041,0.00042,0.00023,99.13093,33.45838,0.414,0.4129,519.96,True
I33_14_03.png,low,0.000408,3.59043,0.00049,622,13,7.99898,-0.00072,-0.00136,-0.00178,99.21061,33.30752,7.99919,-0.0003,0.0003,0.00036,99.22129,33.47693,7.99907,-0.00032,0.00022,0.00095,99.23096,33.48957,7.99908,-0.00045,-0.00028,-0.00016,99.22095,33.42467,0.4143,0.4138,519.67,True
I39_21_03.png,low,0.000243,3.99,0.00856,2470,75,7.99901,0.00019,0.00019,-0.00049,98.65519,33.43874,7.99903,0.00055,0.00037,-7e-05,98.70555,33.41646,7.99911,0.00044,-0.0008,-0.0002,98.64451,33.46224,7.99905,0.0004,-8e-05,-0.00025,98.66842,33.43915,0.4059,0.4029,519.89,True
I40_19_05.png,low,0.000404,3.73467,0.00553,1854,1,7.99901,-0.00024,0.00045,0.00075,99.15314,33.33719,7.99911,-0.00055,0.00197,-0.00062,99.13483,33.39053,7.99906,-0.00077,-0.00087,1e-05,99.14805,33.48964,7.99906,-0.00052,0.00051,5e-05,99.14534,33.40578,0.404,0.4112,519.23,True
I41_02_05.png,low,0.000425,3.96939,0.00904,1970,196,7.99907,-0.00073,0.00083,-0.00018,98.99851,33.44494,7.99904,-0.00077,0.00185,0.00023,98.98427,33.39473,7.99917,-0.00173,-0.00025,6e-05,98.96851,33.37113,7.99909,-0.00108,0.00081,4e-05,98.98376,33.4036,0.4223,0.4201,519.67,True
I41_16_04.png,low,0.000323,3.9899,0.01,2931,220,7.99913,-0.00055,-0.0012,-7e-05,99.13432,33.50477,7.99916,-0.00119,0.00051,-2e-05,99.10431,33.3664,7.999,0.00057,-0.00028,-0.00041,99.12109,33.45457,7.9991,-0.00039,-0.00032,-0.00017,99.11991,33.44191,0.4067,0.4151,518.92,True
I44_03_05.png,low,0.00046,3.57,0.0015,1487,123,7.99914,-0.00118,0.00225,-1e-05,98.77014,33.49631,7.99906,-0.00045,-0.00023,-0.00095,98.81337,33.45266,7.99918,0.00022,0.00184,-0.00017,98.81083,33.49213,7.99913,-0.00047,0.00129,-0.00038,98.79812,33.48037,0.4049,0.4118,519.55,True
I44_15_03.png,low,0.00043,3.57,0.00476,758,1,7.99917,0.00047,0.00078,0.00049,99.24164,33.37924,7.99913,0.00101,0.0002,-0.00112,99.27877,33.53505,7.99915,0.00089,-0.00145,-0.00036,99.26453,33.41966,7.99915,0.00079,-0.00015,-0.00033,99.26164,33.44465,0.4151,0.4219,520.67,True
I48_23_04.png,low,0.000367,3.99,0.00614,2187,184,7.99906,0.00049,0.00075,0.00072,99.2101,33.4816,7.99911,0.00078,0.00024,0.00077,99.21672,33.37023,7.99884,0.00143,-0.00027,3e-05,99.19637,33.46452,7.999,0.0009,0.00024,0.00051,99.20773,33.43878,0.415,0.4243,519.14,True
I50_07_03.png,low,0.000431,3.65663,6e-05,1475,123,7.99905,0.00075,0.00148,-0.0008,99.41406,33.41128,7.99907,-0.00057,-4e-05,0.00226,99.38304,33.43915,7.99923,-3e-05,0.00016,0.00068,99.38558,33.53773,7.99912,5e-05,0.00053,0.00071,99.39423,33.46272,0.4044,0.4214,518.71,True
I56_16_05.png,low,0.000343,3.9899,0.01,3000,256,7.99906,0.0005,-0.0005,-0.00013,99.20095,33.5205,7.99911,-0.00032,0.00018,0.00035,99.25079,33.49272,7.99905,-0.00168,0.00015,0.00133,99.27979,33.48185,7.99907,-0.0005,-6e-05,0.00052,99.24384,33.49836,0.4168,0.4109,518.51,True
I61_02_04.png,low,0.000398,3.86211,0.00696,2239,178,7.99904,0.00059,0.00194,-7e-05,99.30471,33.42066,7.99904,0.00044,0.00037,-0.00037,99.34184,33.49057,7.99904,0.00013,0.00083,-0.00134,99.3693,33.42675,7.99904,0.00039,0.00105,-0.00059,99.33862,33.44599,0.4055,0.4206,517.87,True
I66_10_04.png,low,0.000456,3.57,0.01,500,2,7.99909,-0.00022,-0.0001,0.00103,98.88102,33.49392,7.99912,0.00083,0.00014,-0.00273,98.87288,33.44842,7.99919,-0.00038,-0.00131,0.0005,98.84898,33.4729,7.99913,8e-05,-0.00043,-0.0004,98.86763,33.47175,0.4071,0.409,519.09,True
I73_10_05.png,low,0.000277,3.99,0.00043,1316,30,7.99907,0.00083,0.00038,0.0,99.2513,33.48351,7.99908,0.00028,-0.00099,-0.00026,99.27419,33.42267,7.99905,-0.00068,0.00016,0.00034,99.23197,33.48126,7.99907,0.00014,-0.00015,3e-05,99.25249,33.46248,0.4061,0.427,518.97,True
