File Name,Category,Best_Fitness,Opt_r_min,Opt_eps,Opt_T0,Opt_Q,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),HO_Time (s),Lossless
I31_14_02.png,high,0.000463,3.72024,0.00358,1394,92,7.99914,0.00092,-6e-05,0.00077,99.12771,33.44494,7.99908,-0.00041,-0.00034,-0.00276,99.15873,33.50224,7.99889,0.00106,0.0005,-0.00042,99.08193,33.42124,7.99904,0.00052,3e-05,-0.0008,99.12279,33.45614,0.0,inf,0.4173,0.4266,539.07,True
I39_10_02.png,high,0.000235,3.62094,5e-05,518,9,7.99912,3e-05,0.00055,-0.00013,99.00411,33.38383,7.99894,-0.0003,0.00113,-0.00019,99.0153,33.4414,7.99906,-3e-05,-0.0005,0.00028,99.01733,33.58564,7.99904,-0.0001,0.00039,-1e-05,99.01225,33.47029,0.0,inf,0.412,0.4105,538.59,True
I40_16_02.png,high,0.000415,3.89295,0.00978,505,1,7.99901,-0.00011,0.0011,-0.00046,99.11448,33.47725,7.99905,-4e-05,-0.00115,-0.00038,99.15975,33.5634,7.99893,-0.0004,-0.00198,-0.00072,99.1806,33.54591,7.999,-0.00019,-0.00068,-0.00052,99.15161,33.52885,0.0,inf,0.4441,0.4121,538.55,True
I41_22_04.png,high,0.000377,3.99,0.00859,2447,235,7.99912,0.00078,0.00017,0.00037,99.0565,33.37804,7.99918,0.00089,-0.00034,-0.00153,99.04531,33.55438,7.99898,-0.00016,0.00091,0.00062,99.00665,33.44417,7.99909,0.00051,0.00025,-0.00018,99.03615,33.45886,0.0,inf,0.4144,0.4426,537.44,True
I45_10_01.png,high,0.000425,3.99,0.0004,915,11,7.999,-0.00102,0.00142,-3e-05,99.24164,33.44154,7.99911,0.00059,-0.0004,-0.00054,99.28691,33.48888,7.99887,-0.00115,0.00098,-0.00038,99.24266,33.41656,7.99899,-0.00053,0.00067,-0.00032,99.25707,33.44899,0.0,inf,0.4062,0.4152,538.33,True
I48_14_01.png,high,0.000309,3.94837,0.00086,763,27,7.99907,0.00015,-3e-05,-0.00079,99.21265,33.52696,7.99911,-0.00067,0.00022,-0.00061,99.20502,33.38637,7.99911,0.00082,0.00116,-9e-05,99.18518,33.46826,7.9991,0.0001,0.00045,-0.0005,99.20095,33.46053,0.0,inf,0.42,0.4198,538.37,True
I52_06_01.png,high,0.000337,3.57,0.00128,513,9,7.99913,0.00017,-0.00167,-0.00044,99.30827,33.48905,7.99905,-0.00079,0.00025,-0.00037,99.32556,33.4832,7.99906,-6e-05,0.00017,-0.00111,99.33217,33.47126,7.99908,-0.00023,-0.00042,-0.00064,99.322,33.48117,0.0,inf,0.419,0.4217,537.9,True
I57_01_01.png,high,0.000421,3.99,0.00253,1404,66,7.99918,-0.00108,-0.00017,-0.00054,99.11092,33.50928,7.99893,-0.00066,7e-05,0.00168,99.20705,33.34189,7.99898,-0.0001,0.0004,-0.00179,99.18772,33.46264,7.99903,-0.00061,0.0001,-0.00022,99.16857,33.43794,0.0,inf,0.4368,0.4248,537.83,True
I57_20_01.png,high,0.000418,3.64509,0.00432,938,10,7.99907,-0.00041,8e-05,-0.00157,98.85966,33.49939,7.99907,-0.00251,-0.00011,0.00031,98.87644,33.40875,7.99914,4e-05,0.00129,0.00019,98.8856,33.48316,7.99909,-0.00096,0.00042,-0.00036,98.8739,33.46377,0.0,inf,0.407,0.4219,538.61,True
I60_25_03.png,high,0.000341,3.99,0.0017,1146,45,7.99902,0.00048,-0.00092,4e-05,99.27724,33.51028,7.99905,-0.00084,0.00094,-0.00031,99.27114,33.40406,7.99912,-0.00042,-0.0006,-0.00054,99.2981,33.43778,7.99907,-0.00026,-0.00019,-0.00027,99.28216,33.45071,0.0,inf,0.4283,0.4237,536.83,True
I64_18_01.png,high,0.000366,3.9899,0.01,1500,74,7.99909,-0.00056,-0.00157,-2e-05,98.68266,33.50078,7.99906,-0.00031,-0.00081,0.00058,98.69334,33.44408,7.99901,-9e-05,0.00016,-0.00143,98.71724,33.39102,7.99905,-0.00032,-0.00074,-0.00029,98.69775,33.44529,0.0,inf,0.4238,0.4304,538.21,True
I65_09_01.png,high,0.000332,3.99,0.00544,2001,194,7.99901,0.00043,2e-05,0.00025,99.09922,33.44474,7.99913,0.00178,0.00015,-0.00152,99.11448,33.46967,7.9991,6e-05,-0.00023,0.00049,99.13076,33.39117,7.99908,0.00076,-2e-05,-0.00026,99.11482,33.43519,0.0,inf,0.4106,0.4223,539.36,True
I69_20_04.png,high,0.000372,3.64103,0.00094,642,142,7.99904,-0.00111,0.00203,0.00111,99.41966,33.42434,7.99908,0.00029,0.00021,1e-05,99.43237,33.45887,7.99911,0.00027,0.00049,0.00013,99.47205,33.5542,7.99908,-0.00018,0.00091,0.00042,99.44136,33.47914,0.0,inf,0.4124,0.4159,540.85,True
I70_08_02.png,high,0.00036,3.99,0.00545,2895,49,7.99892,-0.00056,0.00068,0.00032,98.91459,33.43138,7.99891,0.00089,-1e-05,-0.00039,98.90747,33.45449,7.99893,0.00072,0.00015,0.00153,98.88051,33.40344,7.99892,0.00035,0.00027,0.00049,98.90086,33.42977,0.0,inf,0.4108,0.4374,537.38,True
I73_10_02.png,high,0.000413,3.57,0.00098,1114,29,7.99913,0.00012,-0.0017,-0.00027,99.30318,33.4609,7.99915,0.00066,-0.00028,0.00047,99.32149,33.42041,7.9991,0.00076,-0.00079,-0.00141,99.30318,33.47165,7.99913,0.00051,-0.00093,-0.0004,99.30929,33.45099,0.0,inf,0.4169,0.4167,537.43,True
I78_03_01.png,high,0.000383,3.85274,0.01,578,52,7.99909,-9e-05,-0.00038,0.00087,98.82558,33.44109,7.99893,-0.00043,0.0005,-0.00085,98.85813,33.33212,7.99919,-0.00019,-0.00185,-0.00069,98.84389,33.42738,7.99907,-0.00024,-0.00058,-0.00023,98.84254,33.4002,0.0,inf,0.4218,0.5071,537.42,True
